v1,v2,,,
not spam,WHO ARE YOU SEEING?,,,
not spam,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,
not spam,No calls..messages..missed calls,,,
not spam,Didn't you get hep b immunisation in nigeria.,,,
not spam,"Fair enough, anything going on?",,,
not spam,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,
not spam,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,
not spam,What you thinked about me. First time you saw me in class.,,,
not spam,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,
not spam,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,
not spam,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,
not spam,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",,,
not spam,"Sorry, I'll call later in meeting.",,,
not spam,Tell where you reached,,,
not spam,Yes..gauti and sehwag out of odi series.,,,
not spam,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,
not spam,Ha ha ha good joke. Girls are situation seekers.,,,
not spam,Its a part of checking IQ,,,
not spam,"Sorry my roommates took forever, it ok if I come by now?",,,
not spam,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ï¿½ï¿½1500 Bonus Prize, call 0906636",,,
not spam,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ï¿½ï¿½1000. To claim txt DIS to 87121 18+6*ï¿½ï¿½1.50(moreFrmMob. ShrAcomOrSglSuplt)10,",,,
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,
not spam,I plane to give on this month end.,,,
not spam,Wah lucky man... Then can save money... Hee...,,,
not spam,Finished class where are you.,,,
not spam,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
not spam,K..k:)where are you?how did you performed?,,,
not spam,U can call me now...,,,
not spam,I am waiting machan. Call me once you free.,,,
not spam,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,
not spam,I like you peoples very much:) but am very shy pa.,,,
not spam,Does not operate after  &lt;#&gt;  or what,,,
not spam,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
not spam,"Sorry, I'll call later",,,
not spam,K. Did you call me just now ah? ,,,
not spam,Ok i am on the way to home hi hi,,,
not spam,You will be in the place of that man,,,
not spam,Yup next stop.,,,
not spam,"I call you later, don't have network. If urgnt, sms me.",,,
not spam,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,
not spam,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,
not spam,I'm really not up to it still tonight babe,,,
not spam,"Ela kano.,il download, come wen ur free..",,,
not spam,Yeah do! Donï¿½ï¿½ï¿½t stand to close tho- youï¿½ï¿½ï¿½ll catc,,,
not spam,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,
not spam,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ï¿½ï¿½1000 cash or ï¿½ï¿½500,,,
not spam,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
not spam,Watching telugu movie..wat abt u?,,,
not spam,i see. When we finish we have loads of loans to pay,,,
not spam,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",,,
not spam,Please don't text me anymore. I have nothing else to say.,,,
not spam,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,
not spam,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
not spam,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
not spam,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
not spam,Umma my life and vava umma love you lot dear,,,
not spam,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
not spam,"Aight, I'll hit you up when I get some cash",,,
not spam,How would my ip address test that considering my computer isn't a minecraft server,,,
not spam,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
not spam,Dont worry. I guess he's busy.,,,
not spam,What is the plural of the noun research?,,,
not spam,Going for dinner.msg you after.,,,
not spam,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a ï¿½ï¿½1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 15,,,
not spam,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,
not spam,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
spam,You are a winner U have been specially selected 2 receive ï¿½ï¿½1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (1,,,
not spam,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,
not spam,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
spam,"URGENT! Your Mobile No. was awarded ï¿½ï¿½2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 15",,,
not spam,here is my new address -apples&pairs&all that malarky,,,
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,
not spam,I am going to sao mu today. Will be done only at 12 ,,,
not spam,ýý predict wat time ý_'ll finish buying?,,,
not spam,"Good stuff, will do.",,,
not spam,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,
not spam,Are you there in room.,,,
not spam,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,
not spam,K..k:)how much does it cost?,,,
not spam,I'm home.,,,
not spam,"Dear, will call Tmorrow.pls accomodate.",,,
not spam,First answer my question.,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ï¿½ï¿½1.50 SP:Ty,,,
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,
not spam,I only haf msn. It's yijue@hotmail.com,,,
not spam,He is there. You call and meet him,,,
not spam,No no. I will check all rooms befor activities,,,
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,
not spam,Got c... I lazy to type... I forgot ï¿½_ in lect... I saw a pouch but like not v nice.,,,
not spam,"K, text me when you're on the way",,,
not spam,"Sir, Waiting for your mail.",,,
not spam,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
not spam,I know you are. Can you pls open the back?,,,
not spam,Yes see ya not on the dot,,,
not spam,Whats the staff name who is taking class for us?,,,
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,
not spam,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,
not spam,K..i deleted my contact that why?,,,
not spam,Sindu got job in birla soft ..,,,
not spam,The wine is flowing and i'm i have nevering..,,,
not spam,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,
not spam,Ok... Ur typical reply...,,,
not spam,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
not spam,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,
not spam,Aaooooright are you at work?,,,
not spam,I'm leaving my house now...,,,
not spam,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,
spam,You are a winner U have been specially selected 2 receive ï¿½ï¿½1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 087127781,,,
not spam,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
not spam,New car and house for my parents.:)i have only new job in hand:),,,
not spam,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
not spam,I place all ur points on e cultures module already.,,,
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a ï¿½ï¿½900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs ,,,
not spam,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,
not spam,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,
not spam,Yes :)it completely in out of form:)clark also utter waste.,,,
not spam,"Sir, I need AXIS BANK account no and bank address.",,,
not spam,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,
not spam,What time you coming down later? ,,,
not spam,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,
not spam,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
not spam,Let me know when you've got the money so carlos can make the call,,,
not spam,U still going to the mall?,,,
not spam,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
not spam,Text her. If she doesnt reply let me know so i can have her log in,,,
not spam,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
not spam,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
not spam,Lol no. U can trust me.,,,
not spam,ok. I am a gentleman and will treat you with dignity and respect.,,,
not spam,"He will, you guys close?",,,
not spam,Going on nothing great.bye,,,
not spam,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
not spam,"Haha awesome, be there in a minute",,,
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ï¿½ï¿½1000 cash or ï¿½ï¿½500,,,
not spam,Have you got Xmas radio times. If not i will get it now,,,
not spam,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,
not spam,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,
not spam,Hi :)finally i completed the course:),,,
not spam,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,
not spam,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
not spam,Gud mrng dear hav a nice day,,,
not spam,Did u got that persons story,,,
not spam,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,
not spam,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,
not spam,"Found it, ENC  &lt;#&gt; , where you at?",,,
not spam,I sent you  &lt;#&gt;  bucks,,,
not spam,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,
not spam,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
not spam,Goodmorning sleeping ga.,,,
not spam,U call me alter at 11 ok.,,,
not spam,ýý say until like dat i dun buy ericsson oso cannot oredi lar...,,,
not spam,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
not spam,"Aight yo, dats straight dogg",,,
not spam,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,
not spam,Both :) i shoot big loads so get ready!,,,
not spam,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
not spam,Home so we can always chat,,,
not spam,K:)k:)good:)study well.,,,
not spam,Yup... How ï¿½_ noe leh.,,,
not spam,Sounds great! Are you home now?,,,
not spam,Finally the match heading towards draw as your prediction.,,,
not spam,Tired. I haven't slept well the past few nights.,,,
not spam,Easy ah?sen got selected means its good..,,,
not spam,I have to take exam with march 3,,,
not spam,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,
not spam,Ok no prob. Take ur time.,,,
not spam,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
not spam,"Sorry, I'll call later",,,
not spam,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ï¿½ï¿½1 www.4-tc.biz 2optout 087187262701.50gbp/mtm",,,
not spam,Would really appreciate if you call me. Just need someone to talk to.,,,
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,
not spam,Hey company elama po mudyadhu.,,,
not spam,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,
not spam,Dear good morning now only i am up,,,
not spam,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,
not spam,Dear we are going to our rubber place,,,
not spam,"Sorry battery died, yeah I'm here",,,
not spam,Yes:)here tv is always available in work place..,,,
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,,,
not spam,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
not spam,Or ill be a little closer like at the bus stop on the same street,,,
not spam,Where are you?when wil you reach here?,,,
not spam,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,
not spam,Tomarrow final hearing on my laptop case so i cant.,,,
not spam,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
not spam,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
not spam,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
not spam,U don't remember that old commercial?,,,
not spam,Too late. I said i have the website. I didn't i have or dont have the slippers,,,
not spam,I asked you to call him now ok,,,
not spam,Kallis wont bat in 2nd innings.,,,
not spam,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
not spam,Ranjith cal drpd Deeraj and deepak 5min hold,,,
not spam,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
not spam,What you doing?how are you?,,,
not spam,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,,
not spam,"I'm back, lemme know when you're ready",,,
not spam,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,
not spam,Mmm so yummy babe ... Nice jolt to the suzy,,,
not spam,Where are you lover ? I need you ...,,,
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,
not spam,Iï¿½ï¿½ï¿½m parked next to a MINI!!!! When are you coming in today do you ,,,
not spam,Yup,,,
not spam,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,
not spam,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,,
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,,,
not spam,Why you Dint come with us.,,,
not spam,Same. Wana plan a trip sometme then,,,
not spam,"Not sure yet, still trying to get a hold of him",,,
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,
not spam,The evo. I just had to download flash. Jealous?,,,
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
not spam,"Come to mu, we're sorting out our narcotics situation",,,
not spam,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",,,
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
not spam,"Usf I guess, might as well take 1 car",,,
not spam,No objection. My bf not coming.,,,
not spam,Thanx...,,,
not spam,Tell rob to mack his gf in the theater,,,
not spam,"Awesome, I'll see you in a bit",,,
not spam,Just sent it. So what type of food do you like?,,,
not spam,All done? All handed in? Celebrations in full swing yet?,,,
not spam,You got called a tool?,,,
not spam,\Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
not spam,Ok. I asked for money how far,,,
not spam,Okie...,,,
not spam,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
not spam,"K, I might come by tonight then if my class lets out early",,,
not spam,Ok..,,,
not spam,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
not spam,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,,
not spam,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
not spam,Hey you told your name to gautham ah?,,,
not spam,Haf u found him? I feel so stupid da v cam was working.,,,
not spam,Oops. 4 got that bit.,,,
not spam,Are you this much buzy,,,
not spam,I accidentally deleted the message. Resend please.,,,
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,,,
not spam,Unless it's a situation where YOU GO GURL would be more appropriate,,,
not spam,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
not spam,I cant pick the phone right now. Pls send a message,,,
not spam,Need a coffee run tomo?Can't believe it's that time of week already,,,
not spam,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",,,
not spam,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",,,
not spam,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
not spam,He is a womdarfull actor,,,
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
not spam,Yup... From what i remb... I think should be can book... ,,,
not spam,Jos ask if u wana meet up?,,,
not spam,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,,,
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",,,
not spam,Where are the garage keys? They aren't on the bookshelf,,,
not spam,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
spam,"Think ur smart ? Win ï¿½ï¿½200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/",,,
not spam,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,,,
not spam,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",,,
not spam,You made my day. Do have a great day too.,,,
not spam,K.k:)advance happy pongal.,,,
not spam,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",,,
not spam,"Not really dude, have no friends i'm afraid :(",,,
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,,,
not spam,"Coffee cake, i guess...",,,
not spam,"Merry Christmas to you too babe, i love ya *kisses*",,,
not spam,Hey... Why dont we just go watch x men and have lunch... Haha ,,,
not spam,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,,,
not spam,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,,,
not spam,No problem. How are you doing?,,,
not spam,No calls..messages..missed calls,,,
not spam,Hi da:)how is the todays class?,,,
not spam,"I'd say that's a good sign but, well, you know my track record at reading women",,,
not spam,"Cool, text me when you're parked",,,
not spam,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,,,
not spam,K.k:)apo k.good movie.,,,
not spam,Maybe i could get book out tomo then return it immediately ..? Or something.,,,
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,,,
not spam,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,,,
