individualnumber,gender,city_code,dateofbirth
94761686,E,20.0,1992.0
95168668,K,38.0,1963.0
97091811,E,21.0,1992.0
94134430,E,6.0,1991.0
98099030,E,33.0,1974.0
676665,K,34.0,1963.0
102111714,E,1.0,1982.0
97934569,K,59.0,1994.0
101131127,E,7.0,1983.0
94009876,K,,1980.0
98073010,K,26.0,1965.0
98145503,K,,1999.0
101009530,K,,1987.0
6116030,E,7.0,1980.0
100454645,K,35.0,1952.0
96598510,E,35.0,1946.0
100450689,K,,1998.0
93318590,K,34.0,1998.0
95969643,E,41.0,1956.0
87945070,K,26.0,1986.0
92633298,K,7.0,1992.0
92339145,K,34.0,1998.0
78370608,E,10.0,1972.0
97817254,E,34.0,1979.0
100273157,K,3.0,1971.0
94516208,E,41.0,1953.0
99114834,E,60.0,1966.0
96604811,K,,1981.0
78985527,E,34.0,1958.0
95322016,K,35.0,1963.0
98989933,K,,1973.0
96744047,K,26.0,1990.0
97053189,K,34.0,1963.0
100697309,K,,1984.0
93371955,K,34.0,1980.0
100924700,E,6.0,1982.0
95055248,K,10.0,1973.0
101616720,K,34.0,1995.0
95513557,K,34.0,1981.0
97182229,E,3.0,1973.0
98677447,K,39.0,1970.0
99735095,E,42.0,2001.0
42338998,E,,1972.0
52716372,K,1.0,
93388534,E,7.0,1990.0
18568793,K,31.0,1984.0
98867928,E,34.0,1995.0
3303330,K,34.0,1974.0
98930776,E,34.0,1987.0
24004324,E,38.0,1960.0
94306395,E,34.0,1956.0
93554993,K,34.0,1998.0
94038180,E,59.0,1999.0
71503359,E,35.0,1978.0
97010407,K,35.0,1977.0
92589925,K,3.0,1995.0
98536804,E,14.0,1950.0
88733361,E,34.0,1980.0
100634726,E,38.0,1987.0
98536396,E,16.0,1996.0
91610928,E,,1988.0
47117970,E,67.0,1978.0
98937159,E,,1987.0
92966380,E,6.0,1957.0
17772386,E,59.0,1969.0
93390532,K,,1981.0
97187388,K,22.0,2000.0
94416940,E,35.0,1945.0
96620696,K,,1991.0
98103190,E,34.0,1975.0
93079127,E,,1967.0
98201316,K,60.0,1985.0
99789297,K,,2002.0
101025089,K,,1978.0
95774268,E,34.0,1989.0
93294568,E,35.0,1987.0
92853490,E,34.0,1993.0
98117933,E,,1993.0
88832099,E,,1971.0
24478049,E,7.0,1985.0
93122929,E,35.0,1980.0
94927085,K,34.0,1965.0
101540189,E,,1987.0
91713214,E,35.0,1987.0
100430236,E,6.0,1948.0
100897925,K,6.0,1994.0
99520001,E,72.0,1995.0
95960242,E,6.0,1990.0
95563925,K,34.0,1975.0
24086483,K,,1961.0
96328867,E,10.0,1991.0
99023682,K,27.0,1982.0
95857426,E,72.0,1986.0
96003779,E,35.0,1976.0
95826165,K,6.0,1990.0
16201758,E,,1985.0
96138386,K,31.0,1989.0
99959447,E,27.0,1993.0
97518716,K,34.0,1977.0
96310555,K,,1983.0
89887524,E,59.0,1946.0
89519164,E,78.0,1982.0
93961323,K,34.0,1982.0
95365389,K,38.0,1999.0
92963566,E,38.0,1967.0
102221504,E,81.0,1994.0
95217425,E,9.0,1997.0
100392939,K,63.0,2000.0
101939341,E,7.0,1998.0
94467369,K,16.0,1999.0
96069849,E,,1980.0
94250195,K,,1987.0
98175479,E,42.0,1991.0
98887912,K,17.0,1988.0
100550548,K,10.0,1977.0
98806487,E,6.0,1969.0
99962404,E,34.0,1972.0
91240753,E,39.0,1999.0
54479010,E,34.0,1964.0
99875942,K,41.0,1969.0
9877791,E,,1965.0
100522917,K,67.0,1998.0
102112978,E,10.0,1981.0
98546796,K,,1994.0
94242874,K,34.0,1966.0
99189346,K,6.0,1991.0
97009387,K,15.0,1964.0
96457173,E,35.0,2001.0
19894656,E,68.0,1981.0
98868662,K,33.0,1998.0
96063731,K,31.0,1984.0
94519552,K,59.0,1979.0
100400708,K,,1994.0
101654751,K,16.0,1970.0
4607924,K,,1980.0
95126742,K,9.0,1992.0
97535621,K,27.0,1973.0
83129270,K,,1985.0
81586151,K,,1980.0
99640721,E,67.0,1940.0
101327705,E,27.0,1983.0
101147359,E,16.0,1965.0
94361331,K,48.0,1956.0
96666904,K,,1993.0
98194933,K,,1982.0
96369794,K,34.0,2000.0
101840603,K,7.0,1982.0
94304988,K,14.0,1994.0
95266264,E,34.0,1966.0
95508989,E,35.0,1960.0
99485457,E,34.0,1976.0
94566963,K,39.0,1986.0
100807038,K,27.0,2002.0
94083715,E,34.0,1997.0
94852083,E,34.0,2000.0
97130637,K,34.0,1995.0
100966054,K,,1991.0
91955735,E,41.0,1952.0
95172889,E,16.0,1990.0
97153925,K,32.0,1995.0
99260962,K,6.0,1974.0
96605749,E,45.0,1974.0
97763725,E,60.0,1978.0
100901942,E,,1995.0
101953615,E,72.0,1994.0
97745026,E,,1975.0
98444510,K,45.0,2000.0
95030696,K,,1998.0
94428665,K,34.0,1984.0
97113080,K,7.0,1970.0
98217813,E,2.0,1984.0
98957061,E,42.0,1953.0
93083205,K,33.0,1975.0
99552526,K,34.0,1976.0
86455806,E,21.0,1985.0
92657972,K,,1989.0
13159404,K,35.0,1974.0
87970009,E,35.0,1989.0
84089057,K,59.0,1979.0
20851955,K,34.0,1973.0
89134307,K,41.0,1982.0
92642882,E,39.0,1960.0
98135103,K,78.0,1968.0
92890848,K,,1979.0
98094319,E,34.0,1998.0
101631137,K,,1961.0
93050945,E,38.0,1992.0
94500710,E,3.0,1972.0
93409843,K,34.0,1989.0
23112279,E,,1956.0
98063874,E,7.0,1991.0
93399851,K,,1974.0
100331294,K,,2002.0
23297397,E,,1981.0
24949755,E,,1968.0
82232861,E,,1972.0
84551322,E,20.0,1980.0
90526036,K,1.0,1988.0
70403377,K,35.0,1959.0
94220076,E,46.0,1988.0
44328659,K,6.0,1951.0
98264694,E,21.0,1989.0
92901105,E,80.0,1959.0
97453992,E,34.0,2000.0
98380112,E,35.0,1996.0
98279437,K,21.0,1989.0
100040933,K,34.0,1989.0
93423261,E,47.0,1973.0
94209819,E,49.0,1993.0
99030574,K,35.0,1982.0
95545735,K,34.0,1975.0
97535091,E,34.0,1979.0
90238571,E,33.0,1987.0
101022193,E,1.0,1992.0
83503523,E,,1982.0
97924964,K,6.0,1991.0
75805323,E,,1982.0
100859221,E,59.0,2002.0
100913198,E,10.0,1987.0
98850228,K,7.0,1988.0
89110224,E,,1985.0
94943500,K,,1993.0
94091974,K,,1994.0
98329540,E,42.0,1982.0
92952615,E,34.0,1962.0
89724205,E,34.0,1995.0
95764398,E,33.0,1966.0
95506032,E,54.0,1988.0
96525180,E,,1992.0
98672879,K,,1996.0
93218628,K,1.0,1985.0
93657218,E,,1952.0
93909323,E,34.0,1999.0
98431887,E,34.0,1998.0
89276561,E,41.0,1955.0
94289082,E,,1949.0
96401034,E,7.0,1976.0
100226602,E,34.0,1973.0
96049171,K,,1996.0
74945395,K,65.0,1977.0
7898366,E,32.0,1955.0
99331722,E,,1985.0
98958264,E,16.0,1991.0
95230027,E,,1955.0
48997576,K,33.0,1969.0
6528701,K,52.0,1972.0
23569690,E,35.0,1954.0
76044235,E,35.0,1975.0
101030778,E,,1988.0
96468980,E,42.0,1978.0
102052475,E,25.0,1998.0
101997274,E,46.0,1973.0
93290183,E,,1991.0
101689825,E,34.0,1999.0
93813889,K,34.0,1993.0
100338594,K,34.0,1977.0
96046561,K,34.0,1969.0
93059408,K,,1968.0
100455236,E,77.0,1970.0
102267977,K,41.0,1986.0
94259167,E,72.0,1981.0
87694208,E,34.0,1979.0
96314572,K,20.0,1984.0
96211552,E,55.0,1973.0
93200785,E,,1988.0
100054698,K,34.0,1996.0
44083854,E,,1964.0
96147093,E,70.0,1976.0
99770985,E,34.0,1983.0
93599651,E,,1986.0
97512619,E,,1976.0
100624856,K,33.0,1992.0
100239204,K,,1987.0
91231964,E,,1973.0
100705139,E,59.0,1969.0
87155290,E,22.0,1984.0
94373994,E,,1942.0
95800410,K,39.0,1988.0
99971519,E,76.0,1990.0
96482194,E,9.0,1974.0
100226316,K,5.0,1995.0
99706648,E,26.0,1979.0
92739744,E,,1954.0
96029452,K,34.0,1951.0
98554096,K,,1962.0
101825982,K,63.0,1989.0
17866413,E,,1962.0
98259657,E,34.0,1985.0
94575691,E,,1983.0
99707586,K,16.0,1973.0
97576323,K,32.0,1975.0
95693087,E,35.0,1956.0
21628378,E,25.0,1981.0
94114160,K,35.0,1969.0
93526016,E,32.0,1973.0
97309107,E,63.0,2000.0
101400137,E,6.0,1965.0
101664804,E,38.0,1991.0
93360148,K,1.0,1969.0
98178232,E,6.0,1983.0
96002433,E,16.0,1975.0
95338961,K,34.0,1980.0
7034360,K,35.0,1973.0
98330743,K,7.0,1980.0
91025781,K,17.0,1954.0
100001291,E,,1985.0
94670717,K,6.0,1947.0
92181494,E,34.0,1986.0
52611985,E,35.0,1956.0
100359863,K,34.0,1967.0
24317544,K,,1980.0
101145666,E,27.0,1961.0
99602221,E,34.0,1989.0
102052271,K,,1981.0
94126436,E,34.0,1978.0
94347036,E,26.0,1940.0
99657891,E,34.0,1989.0
101886954,E,55.0,1976.0
92375197,K,34.0,1981.0
22724730,K,34.0,1970.0
95411536,E,,1995.0
99922884,K,67.0,1985.0
100747391,K,31.0,2002.0
82543593,K,9.0,1983.0
95298503,E,,1990.0
101548244,K,20.0,1972.0
96754222,K,16.0,1981.0
97429032,E,20.0,1982.0
94335637,K,34.0,1977.0
96571184,E,34.0,1979.0
98767579,K,34.0,1998.0
100853633,E,35.0,1983.0
93628098,K,21.0,1990.0
101980165,E,80.0,1979.0
93222237,K,7.0,1997.0
93224052,K,,1986.0
95468327,E,,1970.0
94576547,E,35.0,1989.0
97334128,E,34.0,1993.0
94112610,K,7.0,1990.0
93089241,K,,1990.0
98614252,E,27.0,1976.0
96207596,K,34.0,1988.0
94226968,K,39.0,1982.0
93984773,E,25.0,1998.0
98426116,E,51.0,1989.0
97197502,E,10.0,1982.0
99317305,E,34.0,1980.0
99384231,K,34.0,1992.0
99668148,E,53.0,1966.0
93165629,E,58.0,1970.0
98717068,K,34.0,1978.0
57064401,E,59.0,1965.0
96701570,E,19.0,1977.0
101407641,E,45.0,1965.0
88292079,K,,1979.0
98853429,K,,1995.0
99457683,K,34.0,1989.0
101287329,K,16.0,1985.0
95011446,E,,1984.0
100806956,E,31.0,2001.0
96344365,E,34.0,1983.0
52664902,E,,1989.0
97240019,E,34.0,1981.0
93641312,E,34.0,1995.0
94540596,E,34.0,1953.0
101991972,K,,1997.0
96247564,K,35.0,1958.0
99390267,E,34.0,1996.0
91739621,E,35.0,1953.0
101333598,E,35.0,1966.0
99189386,E,34.0,1993.0
92832690,E,35.0,1975.0
100425668,E,34.0,1987.0
86416837,E,6.0,1984.0
74308942,E,54.0,1990.0
97757159,K,33.0,1952.0
8532922,K,72.0,1972.0
98657646,E,59.0,1983.0
95930796,E,68.0,1982.0
97891888,K,,1989.0
99944010,K,34.0,1975.0
18399886,K,35.0,1975.0
95436067,E,6.0,1962.0
99600345,K,6.0,1971.0
96632564,E,10.0,1981.0
100340266,K,35.0,1959.0
39221825,E,34.0,1980.0
100644575,K,34.0,1995.0
101014403,K,,1991.0
94145951,E,,1978.0
98312492,E,,2001.0
101746963,K,81.0,1971.0
95875717,E,34.0,1966.0
22855034,E,,1984.0
88909751,K,,1977.0
93911872,K,,1991.0
98523182,E,64.0,1985.0
94119115,E,10.0,1970.0
92364389,K,,1992.0
96574814,K,48.0,1966.0
101009101,E,1.0,1981.0
90418509,E,35.0,1975.0
46756971,K,34.0,1948.0
96386005,E,25.0,1975.0
17114338,K,41.0,1976.0
81456825,E,3.0,1962.0
99608257,E,46.0,1993.0
96269159,K,65.0,1992.0
24666103,K,34.0,1972.0
95545123,E,67.0,1974.0
98287410,K,38.0,1975.0
97413473,E,34.0,1977.0
92259289,K,51.0,1988.0
90142443,K,48.0,1993.0
100553831,E,,1969.0
93070521,K,35.0,1990.0
102125580,K,73.0,2000.0
99523936,K,34.0,1980.0
100308271,E,16.0,1983.0
98926942,E,10.0,1987.0
99595247,K,35.0,1986.0
93375829,E,,1959.0
96279151,E,,1980.0
102153680,E,34.0,1988.0
89250337,K,16.0,1971.0
99217955,K,34.0,1979.0
86405499,K,16.0,1980.0
100808567,E,45.0,2003.0
74406946,K,34.0,1973.0
94642005,K,,1995.0
88793904,K,34.0,1942.0
96771188,E,10.0,1953.0
97487455,E,34.0,1989.0
68110936,E,,1972.0
95261206,E,20.0,2000.0
100098683,E,10.0,1963.0
93916827,K,16.0,1967.0
97791152,E,,1996.0
91748410,K,,1993.0
97800145,E,35.0,1974.0
82832465,E,,1988.0
88916643,E,34.0,1979.0
100284127,E,,1999.0
93562171,K,35.0,1967.0
101349626,K,7.0,1965.0
74823247,E,,1975.0
42742615,E,17.0,1956.0
96085448,K,35.0,1945.0
17727482,K,,1983.0
93871292,K,21.0,1989.0
93362554,K,,1994.0
98127843,K,,1991.0
101922089,E,42.0,1995.0
101902696,E,81.0,1977.0
95088160,E,34.0,1984.0
99272422,K,42.0,2001.0
95712133,E,,1972.0
95561620,K,9.0,1971.0
96490697,K,34.0,1994.0
96061304,E,,1978.0
95883507,K,41.0,1986.0
52125393,E,22.0,1975.0
100875575,E,27.0,1988.0
94684400,E,35.0,1989.0
97240896,E,10.0,1968.0
58798653,E,,1978.0
100045215,K,31.0,1998.0
94842356,K,,1965.0
89097601,E,34.0,1986.0
96052984,K,34.0,1971.0
95189794,E,,1993.0
94642209,K,17.0,1993.0
94499139,K,10.0,1987.0
95076027,E,59.0,1976.0
99444938,E,45.0,2001.0
98672675,E,77.0,1985.0
92757627,K,,1972.0
95841520,K,34.0,1977.0
97768476,K,34.0,1984.0
99766070,E,34.0,1967.0
95631707,K,,1965.0
98508744,E,15.0,2001.0
93572020,E,25.0,1961.0
94650182,E,,1961.0
93147847,K,16.0,1978.0
95534050,K,16.0,2000.0
96386596,E,10.0,1979.0
99474098,E,,1982.0
96163794,E,16.0,1975.0
99929246,E,41.0,1973.0
99939911,K,34.0,1980.0
94895395,K,20.0,1954.0
18807480,K,35.0,1951.0
101192873,E,6.0,1970.0
100533113,K,42.0,2000.0
98418530,E,33.0,2000.0
101985671,E,,1987.0
101071541,E,7.0,2001.0
98158696,E,78.0,1995.0
100218669,E,,1986.0
88815295,E,48.0,1996.0
50944577,E,,1994.0
98633706,E,59.0,1993.0
97912810,E,34.0,1994.0
47716024,E,44.0,1990.0
92654750,E,,1993.0
97644799,K,1.0,1981.0
97196707,K,,1985.0
95032837,E,1.0,1974.0
101088181,E,31.0,1979.0
23478191,K,31.0,1947.0
98659848,K,,1951.0
