individualnumber,category_number,hakkedis_amt,odul_amt,response
93704087,9006,37.0,3.0,0
96136948,9003,16.0,1.0,0
44598273,9037,30.0,3.0,0
101313772,9036,18.0,1.0,0
93506954,9059,27.0,2.0,0
101751030,9046,85.0,8.0,0
19297706,9041,26.0,2.0,0
94278057,9039,34.0,3.0,0
97190616,9046,72.0,10.0,0
101215700,9006,32.0,3.0,0
85156834,9035,27.0,2.0,0
89758964,9010,20.0,2.0,0
101578620,9001,30.0,3.0,0
98065376,9046,85.0,8.0,0
97107808,9001,19.0,1.0,0
90933179,9020,8.0,1.0,0
97678550,9021,34.0,3.0,0
99721519,9038,16.0,1.0,0
98373519,9035,43.0,4.0,0
97629212,9017,15.0,1.0,0
100239204,9006,32.0,3.0,0
94799477,9001,19.0,1.0,0
93443934,9030,18.0,1.0,0
101014631,9046,85.0,8.0,0
94369028,9019,48.0,4.0,0
99849778,9031,29.0,2.0,0
95960242,9035,43.0,4.0,0
95827143,9000,15.0,1.0,0
95799163,9053,28.0,2.0,0
94821975,9006,32.0,3.0,0
94641016,9022,48.0,4.0,0
95932144,9001,19.0,1.0,0
101502644,9061,38.0,3.0,0
93811600,9022,45.0,6.0,0
21777758,9001,42.0,4.0,0
22843245,9001,28.0,2.0,0
93430082,9048,80.0,8.0,0
97040221,9058,27.0,4.0,0
93128844,9004,66.0,6.0,0
101932032,9022,60.0,6.0,0
93108040,9036,18.0,1.0,0
97381177,9031,29.0,2.0,0
97908328,9036,33.0,3.0,0
98829691,9046,85.0,8.0,0
101173489,9008,19.0,1.0,0
101994230,9018,15.0,1.0,0
100973855,9043,32.0,3.0,0
91967966,9059,27.0,2.0,0
98171816,9035,27.0,2.0,0
66795800,9010,24.0,2.0,0
93965374,9024,23.0,2.0,0
97233434,9046,56.0,5.0,0
54766363,9005,32.0,3.0,0
97952667,9000,15.0,1.0,0
94854103,9046,66.0,6.0,0
93619115,9046,77.0,7.0,0
92829061,9022,48.0,4.0,0
99398182,9007,20.0,2.0,0
101810185,9046,85.0,8.0,0
96010163,9027,37.0,3.0,0
90195895,9036,12.0,1.0,0
96543770,9056,26.0,2.0,0
93566846,9058,23.0,2.0,0
99895650,9046,85.0,8.0,0
100871254,9048,66.0,6.0,0
49918291,9049,56.0,5.0,0
100139351,9059,27.0,2.0,0
99110170,9043,32.0,3.0,0
95179113,9022,43.0,4.0,0
101493807,9039,34.0,3.0,0
96239015,9000,15.0,1.0,0
98992171,9029,38.0,3.0,0
94057990,9046,85.0,8.0,0
13093066,9039,40.0,4.0,0
101665945,9046,85.0,8.0,0
97804653,9059,71.0,7.0,0
95492723,9017,16.0,1.0,0
97305217,9000,17.0,1.0,0
93203775,9008,19.0,1.0,0
17770563,9035,27.0,2.0,0
98786943,9006,36.0,3.0,0
94602170,9027,37.0,3.0,0
97665428,9022,43.0,4.0,0
100966054,9012,28.0,2.0,0
95042035,9028,48.0,4.0,0
97528450,9018,15.0,1.0,0
100263745,9000,15.0,1.0,0
99628246,9001,22.0,2.0,0
93157267,9006,32.0,3.0,0
99300394,9005,10.0,1.0,0
96733460,9046,85.0,8.0,0
101071541,9000,15.0,1.0,0
91924153,9036,17.0,1.0,0
92980716,9042,17.0,1.0,0
97768476,9032,33.0,3.0,0
99361232,9038,17.0,1.0,0
93453495,9017,28.0,2.0,0
95334043,9046,125.0,12.0,0
101813137,9046,85.0,8.0,0
101542172,9046,85.0,8.0,0
95889025,9004,92.0,9.0,0
91491548,9039,52.0,5.0,0
95140731,9049,45.0,4.0,0
95210847,9048,38.0,3.0,0
96092840,9017,15.0,1.0,0
101111553,9039,34.0,3.0,0
99065427,9039,42.0,4.0,0
95894570,9043,34.0,3.0,0
96698277,9017,18.0,1.0,0
99402496,9003,22.0,2.0,0
92989597,9058,23.0,2.0,0
100545896,9059,27.0,2.0,0
97719706,9021,48.0,4.0,0
94897570,9019,41.0,4.0,0
101591696,9022,60.0,6.0,0
3690057,9003,7.0,1.0,0
20458008,9058,23.0,2.0,0
95356372,9017,15.0,1.0,0
98060678,9046,85.0,8.0,0
97034419,9006,32.0,3.0,0
94602866,9000,37.0,3.0,0
42382525,9017,17.0,1.0,0
93362554,9048,39.0,3.0,0
95702469,9018,15.0,1.0,0
97355088,9043,34.0,3.0,0
93997204,9006,34.0,3.0,0
99501163,9018,15.0,1.0,0
90890535,9007,19.0,1.0,0
100179540,9009,15.0,1.0,0
101530147,9039,34.0,3.0,0
61787506,9012,28.0,2.0,0
97378816,9041,28.0,2.0,0
3456150,9040,44.0,4.0,0
96667620,9019,27.0,2.0,0
94272431,9006,33.0,3.0,0
99102459,9035,43.0,4.0,0
96995520,9022,43.0,4.0,0
88692107,9038,16.0,1.0,0
68347173,9041,33.0,3.0,0
98638742,9039,52.0,5.0,0
98858664,9049,32.0,3.0,0
94505710,9022,43.0,4.0,0
96679452,9003,8.0,1.0,0
99135319,9024,45.0,4.0,0
97106536,9000,16.0,1.0,0
102193303,9046,85.0,8.0,0
98598959,9046,85.0,8.0,0
96887710,9022,48.0,4.0,0
93000946,9019,51.0,5.0,0
90449126,9041,26.0,2.0,0
100584391,9000,16.0,1.0,0
100584776,9036,16.0,1.0,0
100826186,9046,85.0,8.0,0
94109214,9046,85.0,8.0,0
88740292,9046,85.0,8.0,0
97460085,9046,78.0,7.0,0
98928463,9000,15.0,1.0,0
100977442,9046,85.0,8.0,0
81100749,9019,36.0,3.0,0
61673066,9017,15.0,1.0,0
100236824,9004,66.0,6.0,0
94495040,9032,33.0,3.0,0
95451376,9046,56.0,5.0,0
96003779,9003,14.0,1.0,0
94346066,9058,23.0,2.0,0
87681636,9000,25.0,3.0,1
89139077,9022,68.0,6.0,0
100497039,9006,69.0,6.0,0
99674670,9022,48.0,4.0,0
89932881,9012,33.0,4.0,1
96497563,9003,12.0,1.0,1
68449123,9043,32.0,3.0,0
99212608,9039,41.0,4.0,0
102122883,9046,85.0,8.0,0
98431697,9032,33.0,3.0,0
101118710,9000,15.0,1.0,0
97060620,9061,38.0,3.0,0
94410838,9000,15.0,1.0,0
92967161,9032,38.0,3.0,0
88442027,9001,19.0,1.0,0
98497760,9008,17.0,1.0,0
92864962,9007,19.0,1.0,0
93522934,9046,85.0,8.0,0
98898556,9035,27.0,2.0,0
94059243,9046,56.0,5.0,0
96091173,9029,38.0,3.0,0
22325553,9036,18.0,1.0,0
93926916,9031,29.0,2.0,0
99632527,9017,15.0,1.0,0
91061390,9056,27.0,2.0,0
97474794,9046,85.0,8.0,0
102161841,9046,85.0,8.0,0
102230282,9046,85.0,8.0,0
83519090,9059,27.0,2.0,0
95398633,9038,16.0,1.0,0
92986811,9010,22.0,2.0,0
96379216,9017,19.0,1.0,0
21098679,9012,28.0,2.0,0
92970424,9042,17.0,1.0,0
99034324,9011,13.0,1.0,0
96233941,9028,45.0,4.0,0
98920249,9048,38.0,3.0,0
92958127,9046,85.0,8.0,0
96771453,9046,56.0,5.0,0
11048842,9046,85.0,8.0,0
92687062,9046,85.0,8.0,0
92375822,9012,28.0,2.0,0
88960865,9007,19.0,1.0,0
89270640,9037,66.0,6.0,0
22902622,9042,19.0,1.0,0
95606101,9049,32.0,3.0,0
84550418,9037,30.0,4.0,0
99557321,9032,33.0,3.0,0
96083872,9027,37.0,3.0,0
91572099,9000,15.0,1.0,0
98504925,9046,85.0,8.0,0
99300482,9035,27.0,2.0,0
96215961,9010,16.0,1.0,0
98209325,9008,17.0,1.0,0
98941101,9018,26.0,2.0,0
101088098,9046,85.0,8.0,0
101740676,9000,22.0,2.0,0
97029471,9019,21.0,2.0,0
95300706,9017,16.0,1.0,0
95950330,9003,7.0,1.0,0
94818243,9018,20.0,2.0,0
95697386,9038,20.0,2.0,0
93181605,9017,25.0,2.0,1
98884543,9022,60.0,6.0,0
92962996,9022,43.0,4.0,0
94037388,9046,136.0,20.0,0
97849522,9043,32.0,3.0,0
97971474,9049,32.0,3.0,0
95145448,9000,22.0,2.0,0
68169649,9003,13.0,1.0,0
92181494,9006,40.0,4.0,0
94593826,9009,15.0,1.0,0
97566865,9028,80.0,8.0,0
98287344,9003,7.0,1.0,0
21477715,9041,31.0,3.0,0
98278317,9001,19.0,1.0,0
98016826,9046,56.0,5.0,0
97882341,9035,31.0,3.0,0
98874577,9018,15.0,1.0,0
75330885,9056,26.0,2.0,0
100473302,9046,85.0,8.0,0
100500986,9035,27.0,2.0,0
93350612,9019,24.0,2.0,0
22402354,9035,30.0,3.0,0
97555212,9000,23.0,2.0,0
96590889,9024,23.0,2.0,0
99742583,9046,85.0,8.0,0
91438006,9000,15.0,1.0,0
69323721,9049,37.0,3.0,0
99010682,9012,28.0,2.0,0
100661039,9029,38.0,3.0,0
98917273,9035,27.0,2.0,0
24590930,9032,33.0,3.0,0
96928867,9046,85.0,8.0,0
96789619,9038,19.0,1.0,0
93253258,9019,33.0,3.0,0
95403712,9010,47.0,4.0,1
93042614,9043,43.0,4.0,0
95909127,9036,23.0,2.0,0
95992127,9046,85.0,8.0,0
97150988,9029,38.0,3.0,0
7679881,9017,16.0,1.0,0
98631997,9004,65.0,6.0,0
97427630,9058,52.0,5.0,0
94553494,9017,15.0,1.0,0
101607131,9022,60.0,6.0,0
98486855,9046,85.0,8.0,0
100427215,9060,45.0,4.0,0
75425874,9048,38.0,3.0,0
93284837,9022,55.0,8.0,0
100613973,9017,33.0,3.0,0
95203499,9022,60.0,6.0,0
98957372,9029,38.0,3.0,0
100863492,9017,18.0,1.0,0
94131349,9000,15.0,1.0,0
79794237,9021,34.0,3.0,0
99503027,9059,27.0,2.0,0
97789812,9027,49.0,4.0,0
99671976,9022,49.0,4.0,0
101430613,9038,20.0,2.0,0
56315642,9017,16.0,1.0,0
7770303,9044,27.0,4.0,0
99591465,9038,17.0,1.0,0
100273157,9010,24.0,2.0,0
101332132,9003,7.0,1.0,0
99924370,9046,85.0,8.0,0
89543918,9058,24.0,2.0,0
43432244,9032,78.0,7.0,0
59217746,9035,27.0,2.0,0
94233827,9006,32.0,3.0,0
7884459,9004,66.0,9.0,0
95872128,9046,136.0,13.0,0
101954583,9022,60.0,6.0,0
102267977,9035,62.0,6.0,0
97180117,9035,36.0,3.0,0
99325633,9032,48.0,4.0,0
100043396,9020,8.0,1.0,0
97860551,9022,79.0,7.0,0
94670717,9038,17.0,1.0,0
100494334,9043,46.0,4.0,0
97543075,9031,29.0,2.0,0
101724059,9046,85.0,8.0,0
92888481,9020,15.0,2.0,0
96750377,9019,21.0,2.0,0
97036939,9041,70.0,7.0,0
100936784,9046,85.0,8.0,0
102008513,9022,60.0,6.0,0
100730853,9022,56.0,5.0,0
91731781,9048,38.0,3.0,0
98305818,9017,15.0,1.0,0
39221825,9046,56.0,5.0,0
96640083,9043,33.0,3.0,0
102273847,9035,62.0,6.0,0
96303695,9029,38.0,3.0,0
94601192,9010,32.0,3.0,0
92369106,9046,85.0,8.0,0
92925614,9006,32.0,3.0,0
98200485,9000,15.0,1.0,0
99526403,9046,56.0,5.0,0
96093551,9039,34.0,3.0,0
92673243,9000,17.0,1.0,0
93238250,9022,56.0,5.0,0
97971929,9019,30.0,3.0,0
92853625,9042,17.0,1.0,0
96065971,9029,38.0,3.0,0
51773807,9024,23.0,2.0,0
99072735,9022,60.0,6.0,0
98547993,9046,85.0,8.0,0
90178573,9055,39.0,3.0,0
96576406,9036,9.0,1.0,0
98079307,9046,85.0,8.0,0
100784038,9019,21.0,2.0,0
96242716,9046,85.0,8.0,0
5613421,9019,43.0,4.0,0
90898124,9021,34.0,3.0,0
101936096,9022,60.0,6.0,0
100090581,9049,36.0,3.0,0
94653905,9003,8.0,1.0,0
23458824,9024,23.0,2.0,0
22369913,9022,43.0,6.0,0
97610620,9021,34.0,3.0,0
92893287,9007,20.0,2.0,0
97436165,9046,85.0,8.0,0
99540962,9044,21.0,2.0,0
98019468,9039,34.0,3.0,0
97376527,9035,39.0,3.0,0
100778618,9029,38.0,3.0,0
97098748,9039,34.0,3.0,0
101545394,9046,85.0,8.0,0
93749632,9019,38.0,3.0,0
7292050,9017,15.0,1.0,0
99433168,9059,27.0,2.0,0
95517141,9020,8.0,1.0,0
85999962,9039,34.0,3.0,0
98551267,9019,22.0,2.0,0
95727701,9024,23.0,2.0,0
97730060,9046,136.0,13.0,0
100084937,9027,65.0,6.0,0
97190330,9046,85.0,8.0,0
88602384,9046,85.0,8.0,0
98998751,9000,15.0,1.0,0
101215509,9053,28.0,2.0,0
94085858,9027,41.0,4.0,0
98949847,9039,35.0,3.0,0
94164194,9019,28.0,2.0,0
95040383,9019,21.0,2.0,0
94412297,9059,27.0,2.0,0
97309906,9027,37.0,3.0,0
100826997,9036,22.0,2.0,0
101199152,9058,33.0,3.0,0
100630163,9008,17.0,1.0,0
99681231,9007,19.0,1.0,0
100254668,9022,45.0,4.0,0
101026802,9046,85.0,8.0,0
91573027,9035,29.0,2.0,0
92699285,9046,63.0,9.0,0
94309136,9017,15.0,1.0,0
93960925,9046,85.0,8.0,0
97239192,9017,15.0,1.0,0
100747508,9027,96.0,9.0,0
100310140,9000,15.0,1.0,0
17804967,9024,23.0,2.0,1
95107560,9018,15.0,1.0,0
60347995,9043,39.0,3.0,0
56282242,9049,48.0,4.0,0
100935134,9041,26.0,2.0,0
95808338,9022,67.0,10.0,0
98299688,9040,39.0,3.0,0
95044529,9046,85.0,8.0,0
98085578,9000,15.0,1.0,0
97228243,9021,34.0,3.0,0
94104914,9022,43.0,4.0,0
95171014,9046,136.0,13.0,0
101064834,9022,66.0,6.0,0
97886510,9037,35.0,3.0,0
1597896,9009,29.0,4.0,0
102186113,9046,85.0,8.0,0
94025688,9029,38.0,3.0,0
101856461,9046,85.0,8.0,0
96721111,9046,85.0,8.0,0
93855631,9046,78.0,7.0,0
101862427,9046,85.0,8.0,0
95829088,9022,43.0,4.0,0
101508746,9000,17.0,1.0,0
92829024,9022,48.0,4.0,0
101174234,9046,85.0,8.0,0
93565931,9017,32.0,3.0,0
95846421,9009,39.0,3.0,0
95113560,9040,30.0,3.0,0
5770648,9015,21.0,2.0,0
20781541,9006,35.0,3.0,0
97646425,9061,38.0,3.0,0
99436843,9046,85.0,8.0,0
96149810,9003,17.0,1.0,0
96512512,9024,23.0,2.0,0
22656401,9039,34.0,3.0,0
94786328,9056,26.0,2.0,0
95997720,9049,43.0,4.0,0
96240738,9039,35.0,5.0,0
98499683,9005,10.0,1.0,0
96348402,9035,43.0,4.0,0
92853490,9041,44.0,4.0,0
94080826,9000,15.0,1.0,0
98415452,9031,56.0,8.0,0
96091857,9004,78.0,7.0,0
98310647,9008,17.0,1.0,0
96466876,9048,66.0,6.0,0
96305927,9046,85.0,8.0,0
90837965,9004,66.0,6.0,0
97221310,9055,12.0,1.0,0
80089173,9010,20.0,2.0,0
66365473,9020,8.0,1.0,0
98743555,9056,26.0,2.0,0
95259792,9043,32.0,3.0,0
100737557,9017,15.0,1.0,0
98043099,9046,85.0,8.0,0
97132218,9003,7.0,1.0,0
98213147,9049,49.0,4.0,0
102044368,9046,85.0,8.0,0
97841429,9040,24.0,2.0,0
99858642,9027,37.0,3.0,0
4629157,9011,13.0,1.0,0
99586059,9018,15.0,1.0,0
93813636,9044,37.0,5.0,0
96835254,9000,16.0,1.0,0
96501806,9035,28.0,2.0,0
98592363,9000,15.0,1.0,0
21786644,9059,28.0,2.0,0
98403170,9046,85.0,8.0,0
99471254,9018,16.0,1.0,0
101989359,9022,60.0,6.0,0
101236606,9046,85.0,8.0,0
100198566,9012,33.0,3.0,0
95073181,9030,18.0,1.0,0
98073981,9017,16.0,1.0,0
89097002,9000,17.0,1.0,0
100457527,9005,10.0,1.0,0
18554696,9036,15.0,1.0,0
101739741,9046,85.0,8.0,0
17404801,9059,38.0,3.0,0
95706231,9046,85.0,8.0,0
66302719,9021,64.0,9.0,0
96696951,9035,27.0,2.0,0
92489938,9000,15.0,1.0,0
37719829,9012,28.0,2.0,0
96517665,9059,50.0,5.0,0
99040826,9019,38.0,5.0,0
94564425,9030,18.0,1.0,0
94905800,9000,15.0,1.0,0
101059383,9041,26.0,2.0,0
101057202,9043,33.0,3.0,0
74088444,9038,17.0,1.0,0
101660514,9038,20.0,2.0,0
99878166,9059,27.0,2.0,0
97879374,9040,23.0,2.0,0
99373750,9059,28.0,2.0,0
96647324,9041,37.0,3.0,0
16975151,9000,18.0,1.0,0
98766444,9037,30.0,4.0,0
98017198,9008,20.0,3.0,0
97731119,9046,56.0,5.0,0
100111784,9035,28.0,2.0,0
93324934,9022,80.0,8.0,0
88121936,9049,97.0,9.0,0
100494779,9058,23.0,2.0,0
95396003,9046,85.0,8.0,0
97171805,9021,48.0,4.0,0
102210036,9046,85.0,8.0,0
82731572,9001,22.0,2.0,0
95265715,9060,45.0,4.0,0
92328825,9039,50.0,7.0,0
97590257,9018,18.0,1.0,0
99545970,9036,9.0,1.0,0
101056175,9040,23.0,2.0,0
97175307,9032,33.0,3.0,0
79893177,9005,15.0,2.0,1
6394869,9015,21.0,2.0,0
101199238,9058,23.0,2.0,0
101090874,9046,85.0,8.0,0
95160408,9048,77.0,7.0,0
100323999,9000,16.0,1.0,0
98244883,9046,85.0,8.0,0
101377865,9046,85.0,8.0,0
101204115,9035,43.0,4.0,0
96975609,9027,43.0,4.0,0
94160639,9055,21.0,2.0,0
101617656,9000,27.0,2.0,0
99123885,9019,21.0,2.0,0
97528307,9000,15.0,1.0,0
89363541,9044,38.0,5.0,0
93083360,9038,18.0,2.0,0
98654226,9035,27.0,2.0,0
92054836,9006,69.0,6.0,0
97527819,9007,20.0,2.0,0
97273623,9043,32.0,3.0,0
94314882,9060,45.0,4.0,0
97129260,9046,85.0,8.0,0
98660138,9000,17.0,1.0,0
89330516,9044,65.0,9.0,0
42723088,9046,85.0,8.0,0
99062248,9018,15.0,1.0,0
98431055,9027,66.0,9.0,0
92150935,9046,85.0,8.0,0
95747134,9018,15.0,1.0,0
99166222,9040,24.0,2.0,0
88118002,9017,39.0,5.0,0
79611466,9000,15.0,1.0,0
95487658,9004,66.0,6.0,0
95742291,9046,56.0,5.0,0
95677502,9049,73.0,7.0,0
80968866,9037,30.0,3.0,0
95411277,9039,40.0,4.0,0
98445330,9032,33.0,3.0,0
101331138,9046,85.0,8.0,0
10600696,9002,11.0,1.0,0
94687793,9046,66.0,6.0,0
99353406,9046,118.0,11.0,0
3784085,9007,20.0,2.0,0
90364089,9049,57.0,8.0,0
101211651,9022,43.0,4.0,0
94114837,9058,23.0,3.0,0
93911295,9035,43.0,4.0,0
95122112,9017,15.0,1.0,0
99303220,9000,15.0,1.0,0
99932526,9059,39.0,3.0,0
91780101,9046,85.0,8.0,0
100570433,9049,36.0,3.0,0
96630659,9018,16.0,1.0,0
92183842,9053,28.0,2.0,0
94788826,9035,29.0,2.0,0
9351997,9035,27.0,2.0,0
100800190,9022,60.0,6.0,0
91162586,9059,36.0,3.0,0
98030588,9030,30.0,4.0,0
99560299,9055,16.0,2.0,0
100096841,9006,33.0,3.0,0
91909047,9022,43.0,4.0,0
94177495,9000,20.0,2.0,0
43655228,9027,37.0,3.0,0
93391966,9042,21.0,2.0,0
99479392,9019,21.0,2.0,0
100024536,9007,22.0,2.0,0
98396298,9000,15.0,1.0,0
101748127,9046,85.0,8.0,0
100926198,9048,38.0,3.0,0
101961776,9027,37.0,3.0,0
94080446,9048,38.0,3.0,0
92895071,9021,34.0,5.0,0
94274165,9035,27.0,2.0,0
97449201,9027,37.0,3.0,0
92885011,9058,23.0,2.0,0
42976652,9018,15.0,1.0,0
92682071,9046,85.0,8.0,0
93265380,9059,34.0,3.0,0
97501279,9037,39.0,3.0,0
101030007,9027,37.0,3.0,0
97995311,9046,56.0,5.0,0
53166600,9008,17.0,1.0,0
94456471,9035,28.0,2.0,0
94517435,9027,37.0,3.0,0
100549018,9044,21.0,2.0,0
100061969,9046,85.0,8.0,0
98190894,9046,85.0,8.0,0
95815049,9006,34.0,5.0,0
6583271,9005,10.0,1.0,0
100089787,9007,32.0,3.0,0
96587473,9004,66.0,6.0,0
94333859,9027,37.0,3.0,0
42881597,9039,52.0,5.0,0
93699774,9006,33.0,3.0,0
97731040,9001,23.0,3.0,0
94043130,9039,34.0,3.0,0
88925747,9022,56.0,5.0,0
1530917,9058,23.0,2.0,0
99801863,9059,34.0,3.0,0
96431511,9058,52.0,5.0,0
93747055,9020,12.0,1.0,0
8214614,9002,11.0,1.0,0
94502335,9019,21.0,2.0,0
101187513,9022,43.0,4.0,0
100107107,9052,39.0,3.0,0
99759433,9022,43.0,4.0,0
99575593,9049,32.0,3.0,0
98768323,9000,15.0,1.0,0
102011927,9046,85.0,8.0,0
98743122,9000,26.0,2.0,0
99299163,9046,56.0,5.0,0
101987412,9012,59.0,5.0,0
94183641,9037,30.0,3.0,0
